,Class,C1,C2,C3,C4,C5,C6,C7,C8,C9,C13,C14,C16,C18,C19,C20,C21,C22,C23,C24,C27,C28,C29
39,1.0,26,yes,V2,36.0,V9,V5,V4,V4,7980,V3,V3,30715,V1,5647,4,V3,V2,2,V1,4,V3,1.0
40,0.0,40,yes,V4,23.0,V2,V1,V4,V2,1585,V3,V3,75487,V1,4348,3,V4,V1,2,V2,4,V3,1.0
41,0.0,35,yes,V3,12.0,V3,V1,V4,V2,1290,V3,V3,15657,V1,4766,2,V4,V1,2,V2,4,V2,1.0
42,0.0,38,yes,V5,48.0,V1,V5,V4,V4,2751,V3,V3,25456,V1,5602,3,V4,V2,2,V2,4,V3,2.0
43,0.0,45,no,V5,10.0,V7,V5,V4,V2,1286,V3,V2,41237,V2,4548,2,V2,V1,1,V2,4,V3,1.0
44,0.0,27,yes,V3,5.0,V3,V2,V4,V2,1236,V3,V3,83479,V1,3964,1,V4,V1,2,V2,1,V2,1.0
45,1.0,28,yes,V3,36.0,V6,V1,V1,V2,6886,V2,V3,20585,V1,6543,3,V3,V2,1,V2,4,V3,1.0
46,0.0,22,yes,V2,5.0,V5,V1,V2,V2,454,V3,V2,44288,V1,6501,1,V2,V1,1,V2,3,V4,1.0
47,0.0,30,yes,V5,24.0,V2,V2,V2,V3,3069,V3,V3,58484,V1,4557,4,V2,V1,1,V3,4,V3,1.0
48,0.0,47,no,V2,9.0,V7,V1,V1,V1,2241,V3,V2,30567,V1,5050,3,V4,V1,2,V1,1,V3,2.0
49,0.0,60,yes,V5,23.0,V7,V1,V4,V3,2032,V3,V3,17024,V1,4633,4,V3,V2,2,V3,4,V3,1.0
50,0.0,43,yes,V1,35.0,V10,V1,V1,V4,15857,V3,V4,20409,V2,4926,3,V2,V1,1,V2,2,V1,1.0
51,1.0,28,yes,V3,23.0,V10,V1,V2,V4,11328,V1,V4,29533,V2,4593,3,V2,V2,2,V2,2,V3,1.0
52,0.0,28,yes,V3,19.0,V10,V1,V2,V4,2628,V1,V3,12073,V1,3935,3,V3,V2,2,V2,2,V3,1.0
53,0.0,21,yes,V3,15.0,V9,V1,V1,V2,805,V3,V2,17660,V1,4650,4,V2,V1,1,V2,4,V2,1.0
54,1.0,20,yes,V3,11.0,V2,V1,V1,V4,1281,V3,V3,50353,V1,5665,4,V2,V1,1,V1,2,V2,1.0
55,0.0,30,no,V3,10.0,V7,V1,V4,V1,1545,V3,V2,37041,V1,4287,2,V2,V1,1,V2,3,V3,2.0
56,0.0,36,yes,V3,23.0,V9,V5,V2,V2,4712,V1,V4,36005,V1,6377,2,V3,V2,2,V2,4,V3,1.0
57,0.0,21,yes,V2,9.0,V2,V2,V4,V2,2300,V3,V3,23652,V1,4735,4,V2,V1,1,V1,2,V2,1.0
58,1.0,26,yes,V3,10.0,V7,V5,V4,V2,1309,V3,V2,27483,V3,5601,4,V2,V1,1,V2,4,V3,1.0
59,0.0,32,yes,V4,14.0,V1,V1,V4,V4,3028,V3,V3,11271,V1,5433,2,V2,V1,1,V2,2,V3,1.0
60,0.0,48,no,V5,8.0,V5,V2,V1,V1,1288,V3,V3,51420,V3,6354,4,V4,V1,2,V2,3,V3,2.0
61,0.0,36,yes,V3,11.0,V7,V1,V3,V4,2246,V2,V3,42994,V1,4611,2,V3,V2,2,V2,2,V2,1.0
62,1.0,24,yes,V4,35.0,V9,V1,V1,V4,2144,V3,V3,36722,V1,3936,1,V3,V2,2,V2,2,V3,1.0
63,0.0,29,yes,V3,8.0,V7,V1,V4,V1,1224,V3,V3,20508,V1,5129,1,V4,V1,2,V2,3,V3,1.0
64,0.0,40,yes,V3,11.0,V7,V4,V2,V4,1321,V3,V3,32606,V1,5644,4,V4,V1,2,V2,4,V2,1.0
65,1.0,36,yes,V3,12.0,V2,V1,V2,V2,1921,V3,V2,37363,V1,6296,2,V2,V1,1,V2,4,V3,1.0
66,0.0,63,yes,V1,13.0,V3,V2,V4,V1,1408,V3,V3,27495,V1,4124,4,V2,V1,1,V2,2,V2,1.0
67,0.0,22,yes,V1,14.0,V7,V1,V1,V4,2511,V3,V3,78144,V1,5681,4,V2,V1,1,V1,1,V2,1.0
68,0.0,29,yes,V5,5.0,V3,V1,V4,V1,1740,V3,V3,54827,V1,5029,2,V4,V1,2,V1,2,V4,1.0
69,1.0,21,yes,V2,9.0,V3,V1,V2,V4,1669,V3,V3,35407,V1,4030,2,V2,V2,1,V2,4,V2,1.0
70,1.0,34,yes,V4,24.0,V6,V1,V2,V3,1837,V1,V2,12223,V1,5692,4,V1,V1,1,V3,4,V2,1.0
71,0.0,37,yes,V2,24.0,V3,V1,V4,V4,1533,V2,V3,26329,V1,5365,3,V2,V2,1,V2,4,V2,1.0
72,0.0,26,yes,V4,47.0,V1,V1,V1,V2,4788,V3,V3,10633,V1,5276,3,V2,V1,1,V2,4,V3,2.0
73,0.0,33,yes,V2,24.0,V7,V2,V4,V1,1474,V3,V3,30375,V1,5306,3,V2,V2,1,V2,4,V4,1.0
74,0.0,41,yes,V5,17.0,V2,V1,V2,V3,6360,V3,V3,43485,V1,4007,1,V4,V2,1,V2,2,V3,1.0
75,1.0,21,yes,V1,17.0,V3,V1,V4,V1,433,V3,V3,66099,V2,4607,4,V2,V1,1,V1,3,V2,1.0
76,0.0,41,yes,V4,47.0,V3,V5,V2,V4,3978,V3,V3,23507,V1,4820,1,V2,V2,2,V2,4,V3,2.0
77,0.0,25,yes,V3,21.0,V1,V5,V4,V4,5248,V3,V3,15145,V1,3790,3,V2,V1,1,V2,1,V3,1.0
78,1.0,25,yes,V3,12.0,V3,V5,V2,V1,1484,V3,V3,29475,V1,5254,1,V2,V2,1,V2,2,V4,1.0
79,0.0,50,yes,V5,9.0,V7,V3,V4,V3,2506,V3,V2,25754,V1,4336,4,V2,V1,1,V3,2,V3,1.0
80,0.0,31,yes,V3,23.0,V7,V1,V4,V1,1393,V3,V3,7369,V3,5325,2,V2,V2,1,V2,2,V3,1.0
81,0.0,36,yes,V3,42.0,V2,V3,V4,V1,4041,V3,V3,21522,V1,3406,4,V4,V2,2,V2,4,V3,1.0
82,0.0,64,yes,V5,23.0,V3,V1,V1,V1,2383,V1,V2,47134,V1,7609,4,V2,V1,1,V1,4,V3,1.0
83,0.0,23,yes,V4,24.0,V1,V2,V4,V4,3488,V3,V3,18843,V1,4553,4,V2,V1,1,V2,3,V2,1.0
84,0.0,26,yes,V2,24.0,V3,V1,V4,V2,3180,V3,V3,32839,V1,5283,4,V2,V2,1,V2,4,V2,1.0
85,0.0,41,yes,V3,6.0,V2,V1,V3,V1,2115,V3,V3,23417,V1,4264,2,V2,V2,1,V2,2,V3,1.0
86,0.0,46,yes,V2,14.0,V1,V1,V4,V2,3593,V3,V2,6515,V1,4659,2,V3,V1,2,V2,1,V2,1.0
87,0.0,29,yes,V5,36.0,V7,V2,V2,V3,2861,V3,V3,96344,V1,6482,3,V3,V1,1,V3,4,V3,1.0
88,0.0,35,yes,V3,36.0,V1,V1,V2,V4,6948,V3,V4,66069,V1,4045,2,V2,V2,1,V1,2,V3,1.0
89,0.0,51,yes,V4,12.0,V7,V2,V4,V4,681,V3,V3,16274,V1,3992,3,V4,V2,2,V2,4,V2,1.0
90,0.0,22,yes,V3,23.0,V2,V3,V1,V1,2828,V2,V3,74933,V1,6647,4,V1,V2,1,V2,4,V3,1.0
91,1.0,32,yes,V2,5.0,V2,V1,V4,V2,4611,V3,V3,8073,V1,4324,4,V2,V1,1,V2,1,V2,1.0
92,0.0,28,yes,V4,42.0,V3,V5,V4,V2,7165,V3,V3,80575,V1,5216,4,V2,V2,1,V1,2,V4,1.0
93,0.0,32,yes,V2,12.0,V2,V1,V3,V2,1473,V1,V4,27384,V1,4729,1,V2,V2,1,V2,4,V2,1.0
94,0.0,40,yes,V1,47.0,V10,V5,V2,V3,5381,V1,V1,53428,V1,5026,4,V2,V2,1,V3,3,V3,1.0
95,0.0,38,yes,V4,19.0,V2,V5,V1,V4,2211,V3,V3,29696,V1,4323,4,V2,V2,1,V2,4,V3,1.0
96,1.0,28,yes,V2,17.0,V7,V2,V2,V4,2278,V3,V3,41123,V1,4721,3,V5,V1,2,V2,3,V2,1.0
97,0.0,41,yes,V2,5.0,V7,V1,V1,V1,661,V3,V2,89878,V1,4398,4,V2,V2,1,V2,3,V3,2.0
98,0.0,39,yes,V5,6.0,V3,V1,V4,V4,425,V3,V2,10372,V1,4977,4,V5,V1,1,V2,4,V4,1.0
99,0.0,28,yes,V5,35.0,V3,V1,V4,V4,3594,V3,V3,81417,V1,5358,2,V2,V1,1,V2,4,V3,1.0
100,0.0,46,yes,V5,15.0,V3,V3,V4,V2,1213,V2,V3,10406,V1,5319,3,V2,V2,1,V2,4,V3,1.0
101,0.0,22,yes,V3,11.0,V3,V1,V1,V4,1497,V1,V3,9534,V1,5031,1,V2,V1,1,V2,4,V2,1.0
102,0.0,43,yes,V3,12.0,V7,V1,V1,V1,1343,V3,V2,17343,V1,6079,2,V3,V1,2,V2,4,V3,2.0
103,1.0,53,yes,V3,47.0,V4,V1,V1,V4,3050,V3,V3,63706,V1,5212,4,V2,V1,1,V2,3,V3,1.0
104,0.0,43,yes,V2,6.0,V7,V5,V1,V1,4716,V3,V2,26694,V1,4419,3,V4,V1,2,V2,1,V3,2.0
105,0.0,25,yes,V2,23.0,V3,V5,V4,V4,3104,V3,V3,37871,V1,3708,2,V2,V1,2,V2,4,V3,1.0
106,0.0,24,yes,V2,18.0,V3,V3,V2,V1,3213,V3,V3,25618,V1,4397,3,V2,V1,1,V1,1,V4,1.0
107,1.0,24,yes,V4,12.0,V7,V1,V2,V4,684,V1,V2,15099,V1,5265,3,V2,V1,1,V2,2,V4,1.0
108,0.0,32,yes,V5,18.0,V3,V1,V2,V1,1300,V3,V2,24057,V3,4466,2,V2,V1,1,V2,4,V4,1.0
109,1.0,48,yes,V4,30.0,V2,V1,V2,V2,8385,V3,V3,9124,V1,5951,2,V4,V1,1,V2,2,V3,1.0
110,1.0,23,yes,V2,23.0,V7,V1,V1,V2,1206,V3,V3,87910,V1,5633,4,V2,V1,1,V1,4,V2,1.0
111,1.0,31,yes,V3,35.0,V3,V1,V1,V4,2301,V3,V3,127113,V1,3351,4,V2,V1,1,V1,4,V1,1.0
112,0.0,48,yes,V3,48.0,V9,V5,V2,V4,12204,V1,V4,18137,V1,7453,2,V5,V2,1,V2,2,V3,1.0
113,0.0,50,yes,V3,6.0,V6,V1,V3,V2,1047,V3,V2,6507,V1,4654,4,V4,V1,1,V2,2,V2,1.0
114,1.0,58,yes,V5,47.0,V9,V1,V2,V3,6415,V3,V3,57145,V1,3830,3,V1,V1,1,V1,4,V2,1.0
115,0.0,22,yes,V5,17.0,V7,V1,V3,V4,1961,V3,V4,49482,V1,6458,2,V2,V1,1,V2,3,V2,1.0
116,0.0,22,yes,V4,12.0,V5,V5,V4,V1,996,V3,V3,47177,V1,6260,4,V4,V1,2,V2,4,V2,1.0
117,0.0,33,yes,V5,23.0,V3,V4,V4,V4,2578,V3,V3,58320,V1,5699,2,V4,V1,1,V2,2,V3,1.0
118,0.0,37,yes,V5,17.0,V2,V1,V2,V2,3611,V3,V3,23940,V1,5822,4,V4,V2,1,V2,3,V2,1.0
119,0.0,27,yes,V4,17.0,V1,V1,V4,V4,3850,V3,V3,16380,V1,3688,1,V4,V1,2,V2,3,V3,1.0
120,0.0,35,yes,V5,21.0,V1,V1,V4,V4,3275,V3,V4,53931,V1,4849,4,V4,V2,1,V2,1,V3,1.0
121,0.0,61,yes,V5,11.0,V7,V1,V4,V1,1254,V3,V2,50729,V1,3638,4,V4,V1,2,V2,4,V3,1.0
122,0.0,62,yes,V5,60.0,V7,V5,V4,V3,13756,V1,V4,29056,V1,3004,4,V4,V2,1,V3,2,V3,1.0
123,0.0,47,yes,V3,24.0,V2,V5,V2,V2,4351,V3,V2,49608,V1,3830,4,V2,V2,1,V2,1,V2,1.0
124,0.0,37,yes,V3,36.0,V2,V1,V1,V2,3620,V3,V3,25999,V3,3928,2,V2,V1,1,V2,1,V3,2.0
125,0.0,48,yes,V4,9.0,V7,V1,V1,V2,1037,V3,V3,39094,V2,5047,3,V4,V2,2,V2,4,V3,1.0
126,0.0,22,no,V3,23.0,V1,V1,V1,V4,3632,V1,V3,12092,V3,5713,4,V1,V1,1,V1,1,V2,1.0
127,0.0,19,yes,V4,14.0,V7,V4,V4,V4,3185,V3,V3,74013,V1,4922,3,V2,V1,1,V1,2,V2,1.0
128,0.0,31,yes,V4,18.0,V3,V1,V1,V2,1879,V3,V4,37051,V1,4527,1,V4,V2,2,V2,4,V4,1.0
129,1.0,36,yes,V5,60.0,V9,V1,V1,V3,7297,V3,V3,64857,V2,7018,4,V2,V1,1,V1,4,V3,1.0
130,0.0,23,yes,V2,14.0,V3,V5,V2,V2,1443,V3,V3,55914,V1,6749,1,V2,V1,1,V2,4,V3,1.0
131,1.0,55,yes,V2,24.0,V2,V1,V1,V2,6871,V1,V3,28197,V1,6399,1,V1,V2,1,V2,2,V1,1.0
132,1.0,57,yes,V5,36.0,V7,V1,V2,V3,14317,V3,V4,38640,V1,6742,2,V2,V2,1,V3,4,V3,1.0
133,1.0,53,yes,V3,24.0,V9,V4,V4,V2,4591,V3,V4,4001,V1,4742,3,V2,V2,3,V2,2,V3,1.0
134,0.0,45,yes,V4,6.0,V7,V1,V4,V3,6760,V3,V4,14618,V1,4953,3,V4,V2,2,V2,1,V3,2.0
135,1.0,27,yes,V2,17.0,V2,V5,V2,V1,1924,V3,V3,74413,V1,5374,3,V2,V1,1,V1,4,V2,1.0
136,1.0,23,yes,V3,29.0,V7,V1,V2,V3,2150,V1,V3,16534,V3,4537,2,V2,V1,1,V2,4,V2,1.0
137,0.0,36,yes,V5,35.0,V9,V5,V4,V1,6303,V3,V3,85191,V1,4341,4,V4,V1,2,V2,4,V3,1.0
138,1.0,24,yes,V5,11.0,V2,V5,V2,V2,2762,V1,V3,40466,V1,4414,2,V2,V2,1,V2,1,V2,1.0
139,0.0,35,yes,V5,12.0,V3,V5,V4,V4,976,V3,V3,47150,V1,4602,4,V4,V1,2,V2,4,V3,1.0
140,0.0,36,yes,V3,12.0,V3,V5,V4,V3,2279,V3,V3,37760,V1,2919,4,V2,V2,1,V3,4,V3,1.0
141,1.0,25,yes,V1,18.0,V2,V1,V1,V4,2472,V3,V1,14850,V1,4919,1,V2,V1,1,V2,4,V3,1.0
142,0.0,30,yes,V2,18.0,V7,V1,V4,V2,1055,V3,V3,97210,V1,4233,1,V4,V1,2,V2,4,V2,1.0
143,0.0,26,yes,V3,11.0,V9,V1,V4,V1,1185,V3,V3,23138,V1,7296,2,V4,V1,2,V2,3,V2,1.0
144,0.0,32,yes,V2,27.0,V2,V4,V4,V1,4525,V2,V2,16390,V1,5582,2,V4,V2,2,V2,4,V3,2.0
145,0.0,26,yes,V4,9.0,V3,V5,V3,V2,1347,V3,V3,25180,V1,6034,2,V4,V2,2,V2,4,V3,1.0
146,1.0,35,yes,V5,12.0,V7,V1,V1,V2,691,V3,V3,33867,V1,3581,3,V4,V1,2,V2,4,V3,1.0
147,0.0,46,yes,V5,24.0,V3,V1,V4,V1,2611,V3,V3,39860,V2,6403,3,V4,V1,2,V2,4,V4,1.0
148,1.0,31,yes,V2,17.0,V2,V1,V2,V1,1927,V3,V2,108778,V1,5321,2,V4,V1,2,V2,2,V3,1.0
149,0.0,21,yes,V3,6.0,V2,V1,V4,V2,1765,V3,V3,4469,V1,3803,2,V2,V1,1,V1,1,V4,1.0
150,0.0,26,yes,V2,8.0,V9,V1,V2,V1,907,V3,V3,42290,V1,7240,2,V2,V2,1,V2,3,V4,1.0
151,0.0,22,yes,V3,17.0,V6,V5,V1,V4,8470,V3,V3,34591,V1,3253,2,V3,V2,2,V1,1,V2,1.0
152,1.0,45,yes,V3,28.0,V7,V1,V1,V4,4006,V3,V2,34647,V1,5841,2,V2,V1,1,V2,3,V3,1.0
153,0.0,49,yes,V4,47.0,V6,V1,V1,V3,7475,V3,V4,37496,V1,5827,1,V2,V2,1,V3,4,V3,1.0
154,1.0,18,yes,V2,8.0,V2,V1,V4,V4,1979,V3,V3,5502,V2,5492,2,V2,V1,2,V1,2,V2,1.0
155,0.0,65,yes,V1,17.0,V3,V1,V4,V4,1097,V3,V1,75600,V1,6214,4,V4,V1,2,V2,4,V2,1.0
156,1.0,24,yes,V5,48.0,V1,V1,V1,V3,4605,V3,V3,12350,V1,5694,4,V5,V1,2,V3,3,V3,2.0
157,1.0,60,yes,V5,36.0,V9,V1,V2,V3,1952,V3,V4,17229,V1,5725,4,V5,V2,1,V3,4,V3,1.0
158,0.0,32,yes,V4,23.0,V3,V1,V4,V4,1851,V3,V3,99064,V3,4702,2,V4,V2,2,V2,4,V4,1.0
159,0.0,35,yes,V3,9.0,V7,V1,V1,V1,2799,V3,V3,57155,V1,4104,2,V4,V1,2,V1,2,V3,2.0
160,0.0,57,yes,V5,23.0,V10,V1,V1,V1,1755,V3,V2,97088,V3,4414,4,V2,V2,1,V2,4,V2,1.0
161,0.0,22,yes,V4,17.0,V3,V5,V1,V4,1936,V3,V2,19390,V1,4602,4,V2,V1,2,V1,2,V4,1.0
162,0.0,63,yes,V5,9.0,V6,V5,V4,V1,3832,V3,V2,36438,V1,4450,4,V2,V1,1,V2,1,V3,1.0
163,1.0,56,yes,V5,11.0,V3,V1,V1,V1,709,V2,V2,51660,V1,5734,4,V2,V1,1,V2,4,V3,1.0
164,0.0,43,yes,V4,24.0,V1,V5,V4,V4,2197,V3,V3,82720,V1,5271,4,V4,V2,2,V2,4,V3,2.0
165,0.0,38,yes,V4,30.0,V3,V1,V4,V4,5953,V3,V3,66330,V2,5537,2,V4,V1,1,V2,3,V3,1.0
166,0.0,26,yes,V3,26.0,V1,V4,V4,V4,8613,V3,V3,25634,V1,6176,2,V3,V1,2,V2,2,V3,1.0
167,0.0,35,no,V3,6.0,V7,V2,V4,V3,1203,V1,V3,14544,V1,4854,1,V5,V1,1,V1,4,V3,1.0
168,0.0,21,yes,V3,24.0,V2,V3,V1,V1,2482,V2,V3,67150,V1,4798,4,V1,V2,1,V2,4,V3,1.0
169,0.0,41,yes,V5,36.0,V1,V1,V1,V3,5492,V3,V3,50404,V1,7615,4,V2,V1,1,V3,2,V3,2.0
170,1.0,50,yes,V5,18.0,V1,V5,V1,V2,7510,V3,V3,18657,V1,4067,4,V2,V2,1,V3,1,V3,2.0
171,1.0,21,yes,V3,17.0,V2,V1,V1,V4,2461,V3,V3,45452,V1,4482,2,V2,V1,1,V2,2,V3,1.0
172,0.0,52,yes,V5,10.0,V3,V1,V1,V1,2314,V3,V2,22123,V1,5104,4,V2,V1,1,V2,3,V3,1.0
173,0.0,21,yes,V3,12.0,V3,V1,V2,V4,1566,V3,V3,17100,V1,4838,1,V2,V2,1,V2,1,V2,1.0
174,1.0,58,yes,V2,54.0,V9,V1,V2,V3,15944,V3,V3,4030,V1,4464,4,V5,V2,1,V1,3,V3,1.0
175,0.0,62,yes,V5,14.0,V2,V5,V4,V2,1519,V3,V3,45336,V1,3398,4,V4,V1,1,V2,4,V3,1.0
176,0.0,54,yes,V5,12.0,V2,V5,V3,V1,1423,V3,V4,24506,V1,5840,4,V2,V2,1,V2,3,V2,1.0
177,0.0,25,yes,V4,23.0,V3,V1,V3,V4,5151,V1,V3,22641,V1,7257,2,V2,V1,1,V2,4,V3,1.0
178,1.0,21,yes,V2,12.0,V3,V1,V2,V4,1330,V2,V3,72952,V1,4733,1,V2,V1,1,V2,2,V3,1.0
179,1.0,24,yes,V3,11.0,V3,V1,V1,V1,626,V3,V2,17463,V1,6362,4,V1,V1,1,V2,4,V2,1.0
180,0.0,58,yes,V4,8.0,V3,V1,V1,V1,1363,V3,V3,28480,V1,3915,4,V2,V1,1,V2,3,V3,1.0
181,0.0,36,yes,V3,24.0,V9,V4,V3,V1,1275,V3,V3,98782,V1,5889,4,V4,V2,2,V2,2,V1,1.0
182,0.0,24,yes,V3,6.0,V7,V3,V4,V4,2079,V3,V3,25379,V1,5418,2,V4,V1,1,V2,1,V4,1.0
183,0.0,31,yes,V3,23.0,V9,V5,V4,V1,2978,V3,V3,12793,V1,5464,4,V3,V2,2,V2,4,V3,2.0
184,0.0,26,yes,V2,18.0,V2,V1,V2,V2,1295,V3,V3,44958,V1,4815,1,V4,V1,2,V2,4,V2,1.0
185,0.0,22,yes,V2,13.0,V3,V1,V2,V1,882,V3,V3,20237,V3,5117,4,V4,V1,2,V2,4,V3,1.0
186,0.0,60,yes,V4,11.0,V6,V5,V4,V4,2011,V3,V3,96772,V1,6067,2,V4,V1,1,V2,4,V2,1.0
187,1.0,29,yes,V5,23.0,V7,V5,V1,V4,914,V1,V3,8818,V1,4538,2,V2,V1,1,V2,4,V2,1.0
188,1.0,35,yes,V2,23.0,V3,V1,V1,V1,2439,V3,V3,13217,V1,4082,4,V2,V2,1,V2,4,V2,1.0
189,0.0,34,yes,V4,20.0,V2,V5,V2,V4,3976,V3,V3,19503,V1,5014,3,V2,V2,1,V2,2,V3,1.0
190,0.0,65,yes,V5,21.0,V7,V1,V1,V1,571,V3,V3,96102,V1,4997,4,V4,V1,2,V2,4,V3,1.0
191,0.0,49,yes,V5,24.0,V1,V5,V1,V3,2964,V1,V3,56356,V1,3662,4,V2,V2,1,V3,4,V3,2.0
192,0.0,46,yes,V3,11.0,V2,V1,V3,V4,2251,V3,V2,93001,V1,3831,2,V2,V1,1,V2,1,V2,1.0
193,0.0,53,yes,V5,24.0,V6,V1,V4,V3,1596,V3,V3,33246,V1,4009,4,V4,V1,2,V3,4,V3,2.0
194,0.0,42,yes,V3,24.0,V7,V5,V2,V4,1965,V3,V3,11868,V1,5302,4,V3,V2,2,V1,4,V2,1.0
195,0.0,70,yes,V1,10.0,V7,V1,V2,V3,7308,V1,V4,21540,V1,6112,4,V2,V2,1,V3,2,V3,1.0
196,0.0,43,yes,V5,18.0,V7,V5,V2,V4,2899,V3,V3,10609,V1,4189,4,V3,V1,1,V2,4,V3,2.0
197,0.0,29,yes,V3,11.0,V1,V5,V2,V4,2028,V3,V3,41996,V1,4135,2,V2,V1,1,V2,4,V3,1.0
